epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1240.79,3.06294,4.16375,3.14954,0.4403,0.464,0.40965,0.17819,3.4772,3.88481,3.36785,0.0005348,0.0005348,0.0005348
76,1256.55,2.97708,4.16935,3.07263,0.47169,0.448,0.39289,0.17145,3.43773,4.03974,3.33875,0.000515,0.000515,0.000515
77,1272,3.02603,4.10313,3.12902,0.47711,0.46231,0.42053,0.17242,3.44078,3.95719,3.40493,0.0004952,0.0004952,0.0004952
78,1287.91,3.02731,4.17005,3.13584,0.43574,0.424,0.37647,0.16568,3.46292,4.03481,3.403,0.0004754,0.0004754,0.0004754
79,1303.9,3.05926,4.24339,3.12556,0.45185,0.464,0.42409,0.1742,3.55629,3.96279,3.44537,0.0004556,0.0004556,0.0004556
80,1319.97,3.05573,4.13273,3.13396,0.49264,0.47126,0.41791,0.17907,3.37999,3.81752,3.32168,0.0004358,0.0004358,0.0004358
81,1335.83,3.05288,4.24307,3.13527,0.51199,0.48681,0.43591,0.18393,3.44998,3.8472,3.33415,0.000416,0.000416,0.000416
82,1352.05,3.02118,4.19885,3.07567,0.45959,0.45333,0.41391,0.1841,3.444,3.81242,3.33129,0.0003962,0.0003962,0.0003962
83,1367.97,3.02406,4.06994,3.12035,0.49094,0.49067,0.42722,0.18976,3.46818,3.82364,3.3494,0.0003764,0.0003764,0.0003764
84,1384.5,3.02994,4.19611,3.14229,0.48633,0.44533,0.42284,0.17748,3.49234,3.97372,3.40442,0.0003566,0.0003566,0.0003566
85,1402.21,2.98446,4.12094,3.08761,0.46537,0.46933,0.41963,0.1758,3.49893,3.93908,3.41214,0.0003368,0.0003368,0.0003368
86,1418.43,3.05108,4.10613,3.11317,0.48853,0.47885,0.45238,0.19088,3.51463,3.83352,3.392,0.000317,0.000317,0.000317
87,1434.82,2.97292,3.93842,3.02057,0.43931,0.46384,0.42371,0.18568,3.57522,3.82048,3.43308,0.0002972,0.0002972,0.0002972
88,1450.35,2.98997,4.05208,3.10063,0.46343,0.504,0.42155,0.17798,3.52844,3.86678,3.40632,0.0002774,0.0002774,0.0002774
89,1466.38,3.02286,4.03431,3.08609,0.49385,0.47467,0.44385,0.18319,3.48482,3.83196,3.39017,0.0002576,0.0002576,0.0002576
90,1481.95,3.01208,4.0693,3.08092,0.5422,0.456,0.45025,0.18621,3.51134,3.81196,3.39009,0.0002378,0.0002378,0.0002378
91,1499.26,3.05103,4.02351,3.19267,0.48895,0.46133,0.44708,0.18313,3.43305,3.91898,3.34434,0.000218,0.000218,0.000218
92,1514.97,3.09393,3.9935,3.22366,0.49127,0.464,0.42643,0.17647,3.49663,3.98737,3.38213,0.0001982,0.0001982,0.0001982
93,1530.13,3.05361,3.91732,3.19196,0.50324,0.488,0.45373,0.19352,3.50542,3.80062,3.38253,0.0001784,0.0001784,0.0001784
94,1545.88,3.03556,3.84444,3.16075,0.54581,0.48,0.46054,0.19381,3.47023,3.79199,3.35883,0.0001586,0.0001586,0.0001586
95,1561.41,2.98964,3.70566,3.14284,0.54274,0.48743,0.4555,0.19618,3.42316,3.79536,3.32502,0.0001388,0.0001388,0.0001388
96,1577.21,3.05289,3.78835,3.18501,0.51782,0.50133,0.44896,0.18849,3.50004,3.84747,3.38346,0.000119,0.000119,0.000119
97,1592.86,2.92034,3.66807,3.09027,0.49829,0.48533,0.44366,0.18353,3.44865,3.87512,3.35988,9.92e-05,9.92e-05,9.92e-05
98,1608.3,3.00364,3.77574,3.18341,0.49438,0.48,0.44722,0.18568,3.44392,3.86014,3.34356,7.94e-05,7.94e-05,7.94e-05
99,1625.78,3.0004,3.79713,3.16435,0.48069,0.49867,0.44639,0.18896,3.48875,3.80964,3.39035,5.96e-05,5.96e-05,5.96e-05
100,1641.53,2.96607,3.74454,3.12628,0.48837,0.51467,0.45696,0.19109,3.49704,3.77146,3.40481,3.98e-05,3.98e-05,3.98e-05
